date,Open,High,Low,Close,Volume,Adj Close,symbol
1980-12-12,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,469033600,0.09838948398828506,AAPL
1980-12-15,0.12221000343561172,0.12221000343561172,0.12165199965238571,0.12165199965238571,175884800,0.09325641393661499,AAPL
1980-12-16,0.1132809966802597,0.1132809966802597,0.11272300034761429,0.11272300034761429,105728000,0.08641164004802704,AAPL
1980-12-17,0.11551299691200256,0.11607100069522858,0.11551299691200256,0.11551299691200256,86441600,0.08855035156011581,AAPL
1980-12-18,0.11886200308799744,0.11941999942064285,0.11886200308799744,0.11886200308799744,73449600,0.09111768752336502,AAPL
1980-12-19,0.12611599266529083,0.12667399644851685,0.12611599266529083,0.12611599266529083,48630400,0.09667845070362091,AAPL
1980-12-22,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,37363200,0.1013837680220604,AAPL
1980-12-23,0.13783499598503113,0.13839299976825714,0.13783499598503113,0.13783499598503113,46950400,0.10566207766532898,AAPL
1980-12-24,0.14508900046348572,0.14564700424671173,0.14508900046348572,0.14508900046348572,48003200,0.11122287064790726,AAPL
1980-12-26,0.15848200023174286,0.15904000401496887,0.15848200023174286,0.15848200023174286,55574400,0.12148970365524292,AAPL
1980-12-29,0.16071400046348572,0.16127200424671173,0.16071400046348572,0.16071400046348572,93161600,0.12320072203874588,AAPL
1980-12-30,0.15736599266529083,0.15736599266529083,0.156808003783226,0.156808003783226,68880000,0.12020651251077652,AAPL
1980-12-31,0.1529020071029663,0.1529020071029663,0.1523440033197403,0.1523440033197403,35750400,0.11678437143564224,AAPL
1981-01-02,0.15401799976825714,0.15513400733470917,0.15401799976825714,0.15401799976825714,21660800,0.1180676594376564,AAPL
1981-01-05,0.15122799575328827,0.15122799575328827,0.15067000687122345,0.15067000687122345,35728000,0.11550121754407883,AAPL
1981-01-06,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,45158400,0.11036735773086548,AAPL
1981-01-07,0.13839299976825714,0.13839299976825714,0.13783499598503113,0.13783499598503113,55686400,0.10566207766532898,AAPL
1981-01-08,0.13560299575328827,0.13560299575328827,0.13504500687122345,0.13504500687122345,39827200,0.10352329164743423,AAPL
1981-01-09,0.14229899644851685,0.14285700023174286,0.14229899644851685,0.14229899644851685,21504000,0.10908406227827072,AAPL
1981-01-12,0.14229899644851685,0.14229899644851685,0.141183003783226,0.141183003783226,23699200,0.10822859406471252,AAPL
1981-01-13,0.1367190033197403,0.1367190033197403,0.13616099953651428,0.13616099953651428,23049600,0.10437880456447601,AAPL
1981-01-14,0.1367190033197403,0.1372770071029663,0.1367190033197403,0.1367190033197403,14291200,0.1048065796494484,AAPL
1981-01-15,0.13950900733470917,0.140625,0.13950900733470917,0.13950900733470917,14067200,0.10694532841444016,AAPL
1981-01-16,0.13895100355148315,0.13895100355148315,0.13839299976825714,0.13839299976825714,13395200,0.10608980804681778,AAPL
